Timestamp,Balance,EURUSD
2016-09-07 00:07:19.304000, Balance: 1000000.00, Equity: 1000000.00,0.00, 0
2016-09-07 00:13:30.254000, Balance: 1000000.00, Equity: 1000000.00,0.00, 0
2016-09-07 00:20:23.464000, Balance: 1000000.00, Equity: 1000000.00,0.00, 0
2016-09-07 00:26:09.330000, Balance: 1000000.00, Equity: 1000000.00,0.00, 0
2016-09-07 00:31:52.079000, Balance: 1000000.00, Equity: 1000000.00,0.00, 0
2016-09-07 00:33:49.219000, Balance: 1000000.00, Equity: 1000000.00,0.00, 0
2016-09-07 00:36:01.909000, Balance: 1000000.00, Equity: 1000000.00,0.00, 0
2016-09-07 00:37:38.179000, Balance: 1000000.00, Equity: 1000000.00,0.00, 0
2016-09-07 00:40:13.107000, Balance: 1000000.00, Equity: 1000000.00,0.00, 0
2016-09-07 00:42:55.537000, Balance: 1000000.00, Equity: 1000000.00,0.00, 0
2016-09-07 00:47:15.314000, Balance: 1000000.00, Equity: 1000000.00,0.00, 0
2016-09-07 00:51:47.063000, Balance: 1000000.00, Equity: 1000000.00,0.00, 0
2016-09-07 00:57:07.106000, Balance: 1000000.00, Equity: 1000000.00,0.00, 0
2016-09-07 01:00:09.370000, Balance: 1000000.00, Equity: 1000000.00,0.00, 0
2016-09-07 01:02:26.434000, Balance: 1000000.00, Equity: 1000000.00,0.00, 0
2016-09-07 01:05:35.024000, Balance: 1000000.00, Equity: 1000020.00000, Current Profit: 20.00000, Units 1000000
2016-09-07 01:10:12.177000, Balance: 1000000.00, Equity: 1000060.00000, Current Profit: 60.00000, Units 1000000
2016-09-07 01:14:18.692000, Balance: 1000000.00, Equity: 999970.00000, Current Profit: -30.00000, Units 1000000
2016-09-07 01:18:42.162000, Balance: 1000000.00, Equity: 999935.00000, Current Profit: -65.00000, Units 1000000
2016-09-07 01:22:12.112000, Balance: 1000000.00, Equity: 999630.00000, Current Profit: -370.00000, Units 1000000
2016-09-07 01:26:46.787000, Balance: 1000000.00, Equity: 999620.00000, Current Profit: -380.00000, Units 1000000
2016-09-07 01:30:12.687000, Balance: 1000000.00, Equity: 999525.00000, Current Profit: -475.00000, Units 1000000
2016-09-07 01:32:36.711000, Balance: 999370.00, Equity: 999370.00,0.00, 0
2016-09-07 01:35:30.199000, Balance: 999370.00, Equity: 999370.00,0.00, 0
2016-09-07 01:38:12.915000, Balance: 999370.00, Equity: 999370.00,0.00, 0
2016-09-07 01:42:11.591000, Balance: 999370.00, Equity: 999370.00,0.00, 0
2016-09-07 01:44:35.980000, Balance: 999370.00, Equity: 999370.00,0.00, 0
2016-09-07 01:48:02.580000, Balance: 999370.00, Equity: 999370.00,0.00, 0
2016-09-07 01:52:56.078000, Balance: 999370.00, Equity: 999370.00,0.00, 0
2016-09-07 01:54:59.737000, Balance: 999370.00, Equity: 999370.00,0.00, 0
2016-09-07 01:57:31.674000, Balance: 999370.00, Equity: 999370.00,0.00, 0
2016-09-07 02:00:04.874000, Balance: 999370.00, Equity: 999370.00,0.00, 0
2016-09-07 02:02:50.961000, Balance: 999370.00, Equity: 999370.00,0.00, 0
2016-09-07 02:05:34.476000, Balance: 999370.00, Equity: 999370.00,0.00, 0
2016-09-07 02:09:18.754000, Balance: 999370.00, Equity: 999370.00,0.00, 0
2016-09-07 02:12:32.735000, Balance: 999370.00, Equity: 999370.00,0.00, 0
2016-09-07 02:15:25.820000, Balance: 999370.00, Equity: 999370.00,0.00, 0
2016-09-07 02:16:46.005000, Balance: 999370.00, Equity: 999370.00,0.00, 0
2016-09-07 02:18:37.266000, Balance: 999370.00, Equity: 999390.00000, Current Profit: 20.00000, Units -1000000
2016-09-07 02:20:37.917000, Balance: 999370.00, Equity: 999545.00000, Current Profit: 175.00000, Units -1000000
2016-09-07 02:22:44.639000, Balance: 999370.00, Equity: 999680.00000, Current Profit: 310.00000, Units -1000000
2016-09-07 02:24:21.989000, Balance: 999370.00, Equity: 999801.25000, Current Profit: 431.25000, Units -1250000
2016-09-07 02:26:35.932000, Balance: 999370.00, Equity: 999751.25000, Current Profit: 381.25000, Units -1250000
2016-09-07 02:29:10.665000, Balance: 999370.00, Equity: 999820.00000, Current Profit: 450.00000, Units -1250000
2016-09-07 02:31:23.570000, Balance: 999370.00, Equity: 999563.75000, Current Profit: 193.75000, Units -1250000
2016-09-07 02:33:37.367000, Balance: 999370.00, Equity: 999338.75000, Current Profit: -31.25000, Units -1250000
2016-09-07 02:35:35.779000, Balance: 999182.50, Equity: 999182.50,0.00, 0
2016-09-07 02:37:58.392000, Balance: 999182.50, Equity: 999182.50,0.00, 0
2016-09-07 02:40:19.011000, Balance: 999182.50, Equity: 999182.50,0.00, 0
2016-09-07 02:43:27.395000, Balance: 999182.50, Equity: 999182.50,0.00, 0
2016-09-07 02:45:11.789000, Balance: 999182.50, Equity: 999192.50000, Current Profit: 10.00000, Units 1000000
2016-09-07 02:47:35.357000, Balance: 999182.50, Equity: 999122.50000, Current Profit: -60.00000, Units 1000000
2016-09-07 02:50:07.622000, Balance: 999182.50, Equity: 999017.50000, Current Profit: -165.00000, Units 1000000
2016-09-07 02:52:53.877000, Balance: 999182.50, Equity: 999017.50000, Current Profit: -165.00000, Units 1000000
2016-09-07 02:55:37.935000, Balance: 999182.50, Equity: 999107.50000, Current Profit: -75.00000, Units 1000000
2016-09-07 02:58:09.440000, Balance: 999182.50, Equity: 999097.50000, Current Profit: -85.00000, Units 1000000
2016-09-07 03:00:51.132000, Balance: 999182.50, Equity: 999222.50000, Current Profit: 40.00000, Units 1000000
2016-09-07 03:02:58.415000, Balance: 999182.50, Equity: 999182.50000, Current Profit: 0.00000, Units 1000000
2016-09-07 03:05:11.340000, Balance: 999182.50, Equity: 999227.50000, Current Profit: 45.00000, Units 1000000
2016-09-07 03:08:28.919000, Balance: 999182.50, Equity: 999267.50000, Current Profit: 85.00000, Units 1000000
2016-09-07 03:12:38.560000, Balance: 999182.50, Equity: 999402.50000, Current Profit: 220.00000, Units 1000000
2016-09-07 03:15:53.151000, Balance: 999182.50, Equity: 999417.50000, Current Profit: 235.00000, Units 1000000
2016-09-07 03:19:09.403000, Balance: 999182.50, Equity: 999387.50000, Current Profit: 205.00000, Units 1000000
2016-09-07 03:22:17.355000, Balance: 999182.50, Equity: 999192.50000, Current Profit: 10.00000, Units 1000000
2016-09-07 03:25:48.717000, Balance: 999182.50, Equity: 999387.50000, Current Profit: 205.00000, Units 1000000
2016-09-07 03:29:00.293000, Balance: 999182.50, Equity: 999477.50000, Current Profit: 295.00000, Units 1000000
2016-09-07 03:32:54.896000, Balance: 999182.50, Equity: 999592.50000, Current Profit: 410.00000, Units 1000000
2016-09-07 03:36:15.649000, Balance: 999182.50, Equity: 999763.75000, Current Profit: 581.25000, Units 1250000
2016-09-07 03:39:50.856000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 03:42:45.717000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 03:46:03.415000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 03:49:41.656000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 03:52:40.438000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 03:55:28.200000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 03:59:23.086000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 04:02:42.881000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 04:04:40.428000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 04:07:19.982000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 04:09:48.015000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 04:12:31.873000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 04:15:07.322000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 04:18:20.775000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 04:22:05.081000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 04:25:21.286000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 04:27:58.675000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 04:30:43.794000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 04:33:09.113000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 04:36:46.565000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 04:39:23.858000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 04:42:39.561000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 04:44:59.667000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 04:48:39.841000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 04:51:02.428000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 04:54:03.461000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 04:56:35.177000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 04:59:45.725000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 05:02:20.777000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 05:05:12.995000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 05:08:25.370000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 05:10:25.265000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 05:12:46.060000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 05:15:18.154000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 05:17:20.584000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 05:19:19.580000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 05:21:17.907000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 05:24:04.324000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 05:26:18.393000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 05:27:56.602000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 05:29:28.221000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 05:31:56.886000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 05:34:27.450000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 05:37:20.149000, Balance: 999870.00, Equity: 999870.00,0.00, 0
2016-09-07 05:40:00.684000, Balance: 999870.00, Equity: 999870.00,0.00, 0
