Local time,Ask,Bid,AskVolume,BidVolume
08.11.2016 00:00:00.193,1.10494,1.10489,6.19,1.12
08.11.2016 00:00:00.787,1.10493,1.10489,6,1
08.11.2016 00:00:00.939,1.1049200000000001,1.1048600000000002,1.87,5.06
08.11.2016 00:00:01.445,1.1049,1.10487,1,2.25
08.11.2016 00:00:01.962,1.10489,1.1048600000000002,1,2.62
08.11.2016 00:00:02.513,1.1049,1.10487,1.12,1
08.11.2016 00:00:06.498,1.10491,1.1048600000000002,1.5,2.25
08.11.2016 00:00:08.240,1.1049,1.10485,1.12,3.19
08.11.2016 00:00:10.777,1.1049,1.10485,3.94,2.62
08.11.2016 00:00:11.589,1.1049,1.1048600000000002,3.19,1
08.11.2016 00:00:12.158,1.10489,1.10485,1.69,2.62
08.11.2016 00:00:12.716,1.10489,1.10485,1.25,3.37
08.11.2016 00:00:13.423,1.1049,1.10485,1.25,8.02
08.11.2016 00:00:13.575,1.10491,1.10489,1.5,1
08.11.2016 00:00:13.873,1.10491,1.10487,1,1.12
08.11.2016 00:00:14.411,1.1049,1.10487,1,1.12
08.11.2016 00:00:17.932,1.10493,1.10487,7.31,2.25
08.11.2016 00:00:18.185,1.10493,1.10489,5.44,1
08.11.2016 00:00:20.787,1.10491,1.10487,2.25,2.25
08.11.2016 00:00:21.436,1.1049200000000001,1.10489,1.31,1
08.11.2016 00:00:22.477,1.10491,1.10489,1,1.12
08.11.2016 00:00:23.005,1.1049200000000001,1.10489,1.25,1.12
08.11.2016 00:00:23.518,1.10491,1.10488,3.75,1.87
08.11.2016 00:00:25.683,1.10491,1.10487,2.62,1
08.11.2016 00:00:26.248,1.10489,1.10487,1,1
08.11.2016 00:00:26.753,1.1049,1.1048600000000002,1,1.5
08.11.2016 00:00:27.258,1.10491,1.1048600000000002,6.19,2.25
08.11.2016 00:00:27.889,1.1049,1.1048600000000002,1.5,2.25
08.11.2016 00:00:29.283,1.10491,1.1048600000000002,5.06,1.5
08.11.2016 00:00:34.296,1.10491,1.1048600000000002,6.19,3.9
08.11.2016 00:00:34.842,1.10491,1.1048600000000002,4.69,4.8
08.11.2016 00:00:35.898,1.1049,1.10487,1,1.12
08.11.2016 00:00:45.536,1.1049,1.10488,1.69,1
08.11.2016 00:00:46.248,1.1049,1.10488,1.69,1
08.11.2016 00:00:46.795,1.10491,1.10489,3.75,1
08.11.2016 00:00:48.319,1.10491,1.10488,3.75,1
08.11.2016 00:00:54.210,1.1049,1.10488,2.25,1
08.11.2016 00:00:54.714,1.1049,1.10487,3.19,1.12
08.11.2016 00:00:55.432,1.1049,1.1048600000000002,7.69,1.12
08.11.2016 00:00:55.937,1.10489,1.1048600000000002,2.25,1.12
08.11.2016 00:01:07.417,1.1049,1.1048600000000002,6.56,1.12
08.11.2016 00:01:08.574,1.10489,1.1048600000000002,2.25,1.12
08.11.2016 00:01:15.542,1.10487,1.10485,3.19,4.5
08.11.2016 00:01:15.723,1.10484,1.1048200000000001,4.31,1.12
08.11.2016 00:01:16.228,1.10484,1.10481,3.94,1.87
08.11.2016 00:01:18.206,1.10483,1.10481,2.25,1.87
08.11.2016 00:01:18.764,1.10484,1.10481,4.31,1.12
08.11.2016 00:01:20.169,1.10484,1.1048200000000001,2.44,1
08.11.2016 00:01:20.787,1.10484,1.10481,1.69,4.87
08.11.2016 00:01:21.288,1.10485,1.1048200000000001,4.69,1
08.11.2016 00:01:21.491,1.10483,1.1048200000000001,1.69,1
08.11.2016 00:01:21.796,1.10481,1.1047799999999999,2.06,1.12
08.11.2016 00:01:22.338,1.10481,1.10477,2.06,2.62
08.11.2016 00:01:22.694,1.1047799999999999,1.1047600000000002,3.19,3
08.11.2016 00:01:23.030,1.1047,1.10467,6.19,1.5
08.11.2016 00:01:23.536,1.10469,1.10467,2.25,1
08.11.2016 00:01:24.187,1.1047,1.10467,3.94,1
08.11.2016 00:01:24.936,1.1047,1.1046600000000002,4.69,1.87
08.11.2016 00:01:25.278,1.1046799999999999,1.1046500000000001,1,1.5
08.11.2016 00:01:25.531,1.10467,1.10464,1.69,1.12
08.11.2016 00:01:26.048,1.1046600000000002,1.10463,3.75,1.5
08.11.2016 00:01:26.260,1.1046500000000001,1.1046200000000002,3.19,1.12
08.11.2016 00:01:28.189,1.10464,1.10461,1,1.5
08.11.2016 00:01:29.184,1.1046500000000001,1.10461,5.44,1.5
08.11.2016 00:01:29.686,1.10463,1.1046,1.69,3
08.11.2016 00:01:29.838,1.10461,1.10459,1,3
08.11.2016 00:01:30.344,1.1046200000000002,1.1046,1.5,1
08.11.2016 00:01:31.363,1.1046200000000002,1.10461,1.5,1
08.11.2016 00:01:32.323,1.10463,1.10461,1.69,1
08.11.2016 00:01:34.475,1.10463,1.1046,1.69,1.87
08.11.2016 00:01:34.627,1.1046,1.10459,1,4.5
08.11.2016 00:01:34.888,1.10458,1.1045500000000001,1.25,1.87
08.11.2016 00:01:35.440,1.10458,1.1045500000000001,1.25,3.75
08.11.2016 00:01:37.266,1.10458,1.10454,4.69,3.75
08.11.2016 00:01:58.275,1.10458,1.10456,1.25,1.87
08.11.2016 00:01:59.447,1.1046,1.10456,3.75,1.87
08.11.2016 00:02:04.379,1.10459,1.10456,1,1.12
08.11.2016 00:02:04.898,1.10459,1.10454,4.12,7.5
08.11.2016 00:02:05.437,1.10458,1.10454,1,6
08.11.2016 00:02:06.935,1.10457,1.10454,1,5.25
08.11.2016 00:02:07.036,1.1045500000000001,1.10454,1,1.5
08.11.2016 00:02:07.188,1.1045500000000001,1.10451,2.25,1.12
08.11.2016 00:02:19.481,1.10454,1.10451,1,2.62
08.11.2016 00:02:20.160,1.1045500000000001,1.10451,1.87,2.62
08.11.2016 00:02:20.535,1.1045500000000001,1.10453,1.87,1
08.11.2016 00:02:20.587,1.10457,1.1045500000000001,5.62,1
08.11.2016 00:02:20.638,1.10457,1.10456,1.12,1.5
08.11.2016 00:02:20.740,1.10459,1.10456,2.25,1.12
08.11.2016 00:02:21.245,1.10459,1.10456,4.5,1.5
08.11.2016 00:02:21.369,1.10457,1.10456,1,1.5
08.11.2016 00:02:21.420,1.10457,1.10454,1,3
08.11.2016 00:02:32.104,1.10456,1.1045500000000001,1,1.12
08.11.2016 00:02:32.753,1.10456,1.10454,2.44,1.12
08.11.2016 00:02:33.558,1.1045500000000001,1.1045200000000002,1,2.62
08.11.2016 00:02:33.927,1.1045500000000001,1.10451,1,2.62
08.11.2016 00:02:34.868,1.10454,1.10451,1,2.62
08.11.2016 00:02:35.382,1.1045500000000001,1.10451,2.44,1.12
08.11.2016 00:02:35.899,1.10454,1.10451,1,1.12
08.11.2016 00:02:37.371,1.1045500000000001,1.1045,1.69,5.25
08.11.2016 00:02:40.537,1.1045500000000001,1.1045200000000002,1.25,1
08.11.2016 00:02:41.088,1.1045500000000001,1.10451,1.25,1.87
08.11.2016 00:02:51.162,1.1045500000000001,1.1045200000000002,1.25,1
08.11.2016 00:02:52.697,1.10456,1.1045200000000002,6.56,2.25
08.11.2016 00:03:12.081,1.1045500000000001,1.1045200000000002,1,1.5
08.11.2016 00:03:13.169,1.10456,1.1045200000000002,1.5,1.5
08.11.2016 00:03:13.947,1.1045500000000001,1.1045200000000002,1,1
08.11.2016 00:03:15.132,1.1045500000000001,1.10451,1,4.12
08.11.2016 00:03:16.039,1.10454,1.10451,2.62,2.25
08.11.2016 00:03:17.683,1.10453,1.10449,1,7.87
08.11.2016 00:03:17.936,1.10453,1.10449,3,3.75
08.11.2016 00:03:20.863,1.10453,1.10451,1.12,1
08.11.2016 00:03:21.369,1.10454,1.10451,5.62,1.5
08.11.2016 00:03:22.887,1.10454,1.1045,4.5,2.62
08.11.2016 00:03:23.875,1.10453,1.1045,1,2.62
08.11.2016 00:03:30.633,1.10454,1.1045,3.37,1.87
08.11.2016 00:03:37.196,1.1045500000000001,1.10451,5.25,1
08.11.2016 00:03:39.518,1.10454,1.1045,1.12,2.62
08.11.2016 00:03:43.001,1.10453,1.1045,1,2.62
08.11.2016 00:03:46.697,1.10454,1.1045,3.75,1.87
08.11.2016 00:03:48.760,1.10454,1.1045,4.12,3.37
08.11.2016 00:03:49.287,1.10453,1.1045,1,3.37
08.11.2016 00:03:49.947,1.10454,1.1045,1.5,3
08.11.2016 00:03:55.985,1.1045500000000001,1.1045,4.5,3
08.11.2016 00:03:56.986,1.10454,1.1045,1,3
08.11.2016 00:04:00.117,1.10453,1.1045,1.12,1.5
08.11.2016 00:04:00.219,1.10451,1.10449,1.5,1.87
08.11.2016 00:04:00.320,1.10451,1.10448,3.75,1.5
08.11.2016 00:04:00.840,1.1045,1.10446,5.62,1.5
08.11.2016 00:04:01.347,1.10449,1.1044500000000002,2.06,2.25
08.11.2016 00:04:01.874,1.10449,1.10447,1.87,1
08.11.2016 00:04:02.380,1.10449,1.10446,1,2.62
08.11.2016 00:04:02.909,1.1045,1.10446,5.06,2.62
08.11.2016 00:04:03.437,1.1045,1.10447,3.19,1
08.11.2016 00:04:06.571,1.10449,1.10446,1,1.87
08.11.2016 00:04:20.187,1.1045,1.10448,2.06,1
08.11.2016 00:04:20.390,1.1045200000000002,1.10449,3,1.12
08.11.2016 00:04:20.896,1.10453,1.1045,1,1
08.11.2016 00:04:21.567,1.10453,1.10449,1,1.5
08.11.2016 00:04:22.126,1.10454,1.10449,5.81,2.25
08.11.2016 00:04:22.745,1.10454,1.10449,5.81,3.75
08.11.2016 00:04:25.205,1.10454,1.10449,7.31,3.75
08.11.2016 00:04:28.688,1.10454,1.10449,3.56,3.75
08.11.2016 00:04:30.085,1.10454,1.10451,4.69,1
08.11.2016 00:04:30.638,1.10454,1.1045,2.81,2.62
08.11.2016 00:04:34.948,1.10454,1.10451,2.44,1
08.11.2016 00:04:39.512,1.10454,1.1045,1.31,1.12
08.11.2016 00:04:41.043,1.10453,1.1045,1,1.12
08.11.2016 00:04:41.688,1.10453,1.10448,7.87,2.25
08.11.2016 00:04:44.493,1.1045200000000002,1.10448,1.87,2.25
08.11.2016 00:04:48.496,1.10453,1.10448,5.25,2.25
08.11.2016 00:04:49.126,1.10453,1.10448,7.12,1.5
08.11.2016 00:04:49.670,1.1045200000000002,1.10448,1.5,1.12
08.11.2016 00:04:50.226,1.1045200000000002,1.10448,2.25,1.12
08.11.2016 00:04:55.973,1.1045,1.10446,1.19,2.62
08.11.2016 00:04:56.227,1.10449,1.1044500000000002,2.44,2.25
08.11.2016 00:05:00.616,1.10449,1.1044500000000002,6.19,1.87
08.11.2016 00:05:01.122,1.1045,1.10446,1.87,2.62
08.11.2016 00:05:01.628,1.1045,1.10446,1.5,2.25
08.11.2016 00:05:05.746,1.10451,1.10447,3.56,1.87
08.11.2016 00:05:11.227,1.10451,1.10448,2.06,1
08.11.2016 00:05:12.092,1.1045200000000002,1.10449,4.12,1
08.11.2016 00:05:13.541,1.1045200000000002,1.1045,1.87,1.5
08.11.2016 00:05:13.643,1.1045500000000001,1.1045200000000002,6.56,1
08.11.2016 00:05:13.694,1.1045500000000001,1.1045,5.44,2.62
08.11.2016 00:05:13.745,1.1045500000000001,1.1045200000000002,4.87,1
08.11.2016 00:05:14.792,1.10456,1.1045200000000002,4.31,1.5
08.11.2016 00:05:16.956,1.10456,1.10453,3.56,1
08.11.2016 00:05:17.739,1.10456,1.10451,3.56,4.12
08.11.2016 00:05:20.043,1.10456,1.10453,3.56,1
08.11.2016 00:05:21.135,1.10456,1.1045200000000002,2.44,1.87
08.11.2016 00:05:21.438,1.10453,1.10449,1,7.12
08.11.2016 00:05:21.971,1.10453,1.10449,1,8.62
08.11.2016 00:05:22.986,1.10453,1.1045200000000002,1,1
08.11.2016 00:05:23.518,1.10453,1.1045,1,1.5
08.11.2016 00:05:28.677,1.10454,1.10449,1.87,7.87
08.11.2016 00:05:33.146,1.10453,1.1045,1,1.5
08.11.2016 00:05:36.739,1.10454,1.1045,1,1.37
08.11.2016 00:05:42.869,1.1045500000000001,1.1045,4.5,1.37
08.11.2016 00:05:45.997,1.10454,1.1045,1,1.37
08.11.2016 00:05:47.185,1.1045500000000001,1.1045,2.25,1.37
08.11.2016 00:05:53.690,1.10457,1.10451,9.75,4.87
08.11.2016 00:05:54.183,1.10458,1.10454,1.37,1.12
08.11.2016 00:05:54.486,1.10459,1.10456,4.87,1.12
08.11.2016 00:05:55.011,1.10459,1.10456,7.12,1
08.11.2016 00:05:56.173,1.10459,1.10454,7.87,1.87
08.11.2016 00:05:59.894,1.10459,1.10456,7.12,1
08.11.2016 00:06:00.401,1.10459,1.1045500000000001,7.12,1
08.11.2016 00:06:00.889,1.10459,1.10457,1,1
08.11.2016 00:06:02.590,1.10459,1.10458,1,1
08.11.2016 00:06:10.186,1.10459,1.10457,1,1.12
08.11.2016 00:06:15.962,1.1046,1.1045500000000001,2.25,3
